1000
6.40
Pchamber	Preservoir	Thrust	Temp
1261.4675	-389.2301	-0.0769	24.2567
1261.4675	-389.2301	-0.2268	24.2567
1263.6202	-389.2301	-0.2268	24.2567
1263.0820	-390.2288	-0.0769	24.2567
1262.5439	-388.7307	-0.2268	24.2567
1262.0057	-388.7307	-0.0769	24.2567
1262.0057	-388.7307	-0.2268	24.2567
1262.5439	-389.2301	-0.2268	24.2567
1261.4675	-388.7307	-0.2268	24.2567
1262.0057	-389.2301	-0.2268	24.2567
1261.4675	-389.2301	-0.0769	24.2567
1262.0057	-389.2301	-0.2268	24.2567
1262.5439	-388.7307	-0.2268	24.2567
1262.5439	-389.2301	0.0730	24.2567
1262.5439	-388.7307	-0.3767	24.2567
1262.5439	-389.2301	-0.2268	24.2567
1262.5439	-388.7307	-0.0769	24.2567
1263.0820	-390.2288	-0.2268	24.2567
1262.0057	-389.2301	-0.0769	24.2567
1262.5439	-389.2301	0.0730	24.2567
1262.0057	-388.7307	0.0730	24.2567
1261.4675	-389.2301	-0.0769	24.2567
1262.0057	-389.7295	-0.0769	24.2567
1262.5439	-389.2301	-0.2268	24.2567
1261.4675	-389.2301	-0.0769	24.2567
1261.4675	-389.2301	-0.0769	24.2567
1262.0057	-389.2301	-0.2268	24.2567
1263.0820	-389.2301	-0.2268	24.2567
1263.6202	-389.2301	-0.0769	24.2567
1263.0820	-389.2301	-0.2268	24.2567
1262.5439	-389.2301	0.0730	24.2567
1263.6202	-388.7307	-0.2268	24.2567
1263.6202	-388.7307	-0.0769	24.2567
1262.5439	-389.2301	-0.0769	24.2567
1262.5439	-389.2301	0.0730	24.2567
1261.4675	-389.2301	-0.2268	24.2567
1260.9293	-389.7295	-0.0769	24.2567
1262.0057	-389.7295	-0.0769	24.2567
1262.0057	-389.7295	-0.0769	24.2567
1262.0057	-389.2301	-0.0769	24.2567
1261.4675	-389.2301	-0.2268	24.2567
1261.4675	-389.2301	-0.2268	24.2567
1262.5439	-389.2301	-0.2268	24.2567
1262.0057	-389.2301	-0.0769	24.2567
1263.0820	-388.7307	-0.0769	24.2567
1262.5439	-389.2301	-0.2268	24.2567
1262.5439	-388.7307	-0.0769	24.2567
1262.5439	-389.2301	-0.0769	24.2567
1262.0057	-389.2301	-0.5266	24.2567
1262.5439	-389.2301	0.0730	24.2567
1262.5439	-389.2301	-0.0769	24.2567
1262.0057	-389.7295	-0.0769	24.2567
1262.0057	-389.2301	-0.0769	24.2567
1262.0057	-389.2301	-0.0769	24.2567
1260.9293	-390.2288	-0.0769	24.2567
1261.4675	-389.7295	-0.2268	24.2567
1262.0057	-390.2288	-0.2268	24.2567
1262.5439	-389.2301	-0.2268	24.2567
1262.5439	-388.7307	-0.2268	24.2567
1262.5439	-389.2301	-0.2268	24.2567
1263.0820	-389.2301	-0.2268	24.2567
1263.0820	-389.7295	-0.2268	24.2567
1263.0820	-388.7307	-0.0769	24.2567
1262.0057	-390.2288	-0.0769	24.2567
1262.5439	-390.2288	-0.0769	24.2567
1261.4675	-388.7307	-0.0769	24.2567
1262.0057	-389.7295	-0.2268	24.2567
1261.4675	-389.7295	-0.0769	24.2567
1262.0057	-388.7307	-0.2268	24.2567
1262.0057	-389.2301	-0.0769	24.2567
1262.0057	-389.7295	-0.0769	24.2677
1262.0057	-390.2288	-0.2268	24.2677
1263.0820	-389.2301	-0.2268	24.2677
1263.0820	-388.2314	-0.0769	24.2677
1262.5439	-389.2301	-0.3767	24.2677
1262.0057	-388.7307	-0.2268	24.2677
1263.0820	-388.7307	-0.0769	24.2677
1262.5439	-389.2301	-0.0769	24.2677
1263.0820	-389.2301	-0.0769	24.2677
1262.0057	-389.2301	-0.2268	24.2677
1261.4675	-388.2314	-0.0769	24.2677
1261.4675	-389.7295	-0.5266	24.2677
1261.4675	-388.7307	-0.2268	24.2677
1261.4675	-390.2288	-0.0769	24.2677
1261.4675	-389.7295	-0.0769	24.2677
1261.4675	-390.2288	-0.2268	24.2677
1261.4675	-389.2301	-0.2268	24.2677
1261.4675	-389.2301	-0.2268	24.2677
1262.0057	-389.2301	-0.0769	24.2677
1262.5439	-388.7307	-0.3767	24.2677
1262.0057	-389.2301	-0.0769	24.2677
1262.0057	-388.7307	-0.0769	24.2677
1263.0820	-388.7307	-0.2268	24.2677
1262.0057	-389.7295	-0.2268	24.2677
1262.5439	-389.2301	-0.0769	24.2677
1262.0057	-389.2301	-0.2268	24.2677
1262.5439	-388.7307	-0.0769	24.2677
1262.5439	-388.7307	-0.2268	24.2677
1262.5439	-389.2301	-0.2268	24.2677
1261.4675	-389.2301	-0.2268	24.2677
1261.4675	-389.2301	-0.2268	24.2677
1262.0057	-389.2301	-0.2268	24.2677
1261.4675	-389.2301	-0.2268	24.2677
1261.4675	-389.7295	-0.0769	24.2677
1262.0057	-389.2301	-0.0769	24.2677
1261.4675	-388.7307	-0.2268	24.2677
1262.5439	-389.2301	-0.0769	24.2677
1263.0820	-389.2301	-0.2268	24.2677
1263.6202	-389.2301	-0.0769	24.2677
1262.5439	-389.2301	-0.2268	24.2677
1262.5439	-388.7307	-0.0769	24.2677
1262.5439	-389.2301	0.0730	24.2677
1262.5439	-389.2301	-0.2268	24.2677
1262.5439	-388.7307	0.0730	24.2677
1262.0057	-389.2301	-0.0769	24.2677
1262.0057	-389.2301	0.0730	24.2677
1262.0057	-390.2288	-0.0769	24.2677
1262.0057	-389.2301	-0.2268	24.2677
1262.0057	-389.7295	-0.2268	24.2677
1261.4675	-389.2301	-0.0769	24.2677
1261.4675	-389.7295	-0.2268	24.2677
1262.5439	-389.2301	-0.2268	24.2677
1261.4675	-389.2301	-0.0769	24.2677
1262.5439	-389.7295	-0.0769	24.2677
1262.5439	-388.7307	0.0730	24.2677
1262.5439	-389.2301	-0.0769	24.2677
1263.0820	-388.2314	-0.2268	24.2677
1262.5439	-388.7307	-0.0769	24.2677
1262.0057	-389.2301	-0.0769	24.2677
1263.0820	-388.7307	-0.0769	24.2677
1262.5439	-389.2301	-0.2268	24.2677
1262.5439	-388.7307	-0.2268	24.2677
1261.4675	-389.2301	-0.0769	24.2677
1262.0057	-389.2301	-0.2268	24.2677
1261.4675	-389.7295	-0.0769	24.2677
1261.4675	-389.7295	-0.0769	24.2677
1261.4675	-389.2301	-0.3767	24.2677
1262.0057	-389.7295	-0.2268	24.2677
1262.5439	-389.7295	-0.0769	24.2677
1262.5439	-389.2301	-0.0769	24.2677
1263.0820	-388.2314	-0.2268	24.2642
1262.5439	-388.2314	-0.0769	24.2642
1263.0820	-389.7295	-0.2268	24.2642
1262.0057	-388.7307	-0.2268	24.2642
1262.0057	-388.2314	-0.0769	24.2642
1262.5439	-389.2301	-0.2268	24.2642
1262.0057	-388.7307	-0.0769	24.2642
1261.4675	-389.2301	0.0730	24.2642
1262.5439	-388.7307	-0.2268	24.2642
1262.0057	-389.7295	-0.0769	24.2642
1262.0057	-389.2301	-0.2268	24.2642
1261.4675	-389.2301	-0.2268	24.2642
1262.0057	-389.7295	-0.0769	24.2642
1262.0057	-388.7307	-0.2268	24.2642
